Unicode	input code	full code
172F2	etjx	etjgx
172F3	emtx	embtrx
172F4	esdx	esdclx
172F5	elmi	eldmmxi
172F6	easq	easdq
172F7	eahk	eahqk
172F8	eati	eatpi
172F9	eacu	eacbqu
172FA	eysq	eymsmbq
172FB	eyua	eybua
172FC	erxb	erxhhb
172FD	entx	entgx
172FE	entg	entxg
172FF	entx	entxx
17300	entb	entfmb
17301	entu	entcbqu
17302	efxr	efjvxmr
17303	egto	egtbo
17304	emaa	embaa
17305	esdx	esdmxx
17306	esdw	esdcmbw
17307	elmk	eldmmrk
17308	eybp	eymbxip
17309	eyxl	eylrxll
1730A	ecue	ecbuvhhlne
1730B	erxz	erxz
1730C	esbo	esbao
1730D	enta	entmba
1730E	enta	entyda
1730F	entd	entxmbd
17310	ezxx	ezxbx
17311	emjn	emtjasnn
17312	eaia	eainta
17313	eyqp	eybqxvp
17314	etjd	ettjfd
17315	efbr	efbycr
17316	efbr	efbscr
17317	ecat	eclasbt
17318	ecte	ecbtwe
17319	esma	esmala
1731A	esbx	esqblsx
1731B	enta	entmxa
1731C	eibz	eiwbz
1731D	emjo	emtjtjo
1731E	etjo	etjllxvo
1731F	elli	ellsxtpi
17320	eaij	eaicmbqj
17321	etto	ettjbto
17322	eclm	eclztjm
17323	eclm	eclztjm
17324	esmb	esmalmsb
17325	entm	enttjntm
17326	enbo	entmbxo
17327	enxo	entxxo
17328	eyba	eymbmbua
17329	eyxw	eyxtsbw
1732A	estw	esbtntjhbw
1732B	evxi	evxsbtpi
1732C	etxx	etxlnrsx
1732D	vvxbw	vnvxbw
1732E	vxvmw	vxvmbw
1732F	morx	morx
17330	molrx	molrx
17331	mocmw	mocmbw
17332	monmx	montjmx
17333	mosma	mosmyda
17334	glnn	glnnn
17335	gnx	gnx
17336	gljs	gljs
17337	gfd	gfd
17338	grk	grk
17339	glha	glha
1733A	gltj	gltj
1733B	glsx	glsx
1733C	gao	gao
1733D	gxip	gxip
1733E	gxsn	gxsnn
1733F	gya	gya
17340	gsbp	gsbp
17341	gao	gao
17342	gxme	gxmle
17343	gzp	gzp
17344	grkp	grkp
17345	gwwp	gwwbp
17346	gwhe	gwhhlne
17347	gltn	gltxnn
17348	gbqp	gbqsp
17349	gxht	gxhhbt
1734A	gzo	gzo
1734B	gtbo	gtbo
1734C	gmei	gmlegpi
1734D	glho	glhao
1734E	gago	gagjo
1734F	gza	gza
17350	gtbl	gtbwll
17351	gtbd	gtbvd
17352	gnmx	gntjmx
17353	gvzo	gvzo
17354	gwab	gwab
17355	gwau	gwabu
17356	gwso	gwsxo
17357	glaj	glatj
17358	gzgo	gzgjo
17359	gzsx	gzsx
1735A	gfbp	gfjbsp
1735B	gxxq	gxxnlq
1735C	gzzl	gzzl
1735D	gtbt	gtjbmbt
1735E	gxtl	gxtjzlll
1735F	gxix	gxitsx
17360	gtbw	gtbtw
17361	gzmu	gzmtjbtu
17362	grjx	grtjxgx
17363	qrx	qrx
17364	wua	wua
17365	mywbo	mywbxio
17366	myhll	myholahol
17367	mymts	mymlebtcws
17368	tsbx	tsbx
17369	tlfb	tlfgb
1736A	jlwx	jlwx
1736B	jlwbu	jlwbwu
1736C	jlxip	jlxip
1736D	jlrbw	jlrbw
1736E	jltnq	jltnlq
1736F	jlatj	jlatj
17370	jlnwa	jlnwa
17371	jlwli	jlwlydspi
17372	jlcxu	jlcxwbwu
17373	jlwwe	jlwbwme
17374	jltxq	jltxtjnq
17375	mbs	mbs
17376	mbrx	mbrx
17377	mbnqp	mbnqp
17378	mxhp	mbxhp
17379	mbxyt	mbxydt
1737A	mbyxp	mbyxp
1737B	mbtlx	mbtlx
1737C	mbsxp	mbsxp
1737D	mbvrx	mbvrx
1737E	mbslp	mbsxlp
1737F	mbazb	mbazb
17380	mbyxa	mbyxa
17381	mbnmx	mbntjmx
17382	mbtlr	mbtltr
17383	jva	jva
17384	jvxnn	jvxnn
17385	jvvnl	jvvnll
17386	jvcx	jvcx
17387	jvsms	jvsms
17388	jvwsp	jvwsp
17389	jvhle	jvhhlne
1738A	jvxx	jvxx
1738B	jvxvn	jvxvnnnn
1738C	jvcbu	jvcbqu
1738D	jvrx	jvrx
1738E	jvtxn	jvtxnn
1738F	jvsyp	jvsydp
17390	jvvhe	jvvhhlne
17391	jvwwp	jvwwbp
17392	jvxxp	jvxxp
17393	jvcxp	jvclxp
17394	jvmjl	jvmtjal
17395	jvayt	jvaydtbt
17396	jvrxa	jvrxya
17397	jvmxa	jvmtxmbua
17398	msp	msp
17399	mslms	mslms
1739A	msxi	msxi
1739B	msmsb	msmsb
1739C	mshqk	mshqk
1739D	mstx	mstx
1739E	msckk	msckk
1739F	mssa	mssa
173A0	mszdq	mszdq
173A1	mscsp	mscwsp
173A2	msroa	msroa
173A3	mssqx	mssqx
173A4	msmjx	msmtjydx
173A5	sla	sla
173A6	smln	smlxnn
173A7	shqk	shqk
173A8	shts	shhbts
173A9	srw	srbw
173AA	smjd	smtjyd
173AB	ssxp	sslxp
173AC	shtb	shhbtwb
173AD	scbo	scsbo
173AE	snqi	snqdjpi
173AF	shtq	shhbtfjdq
173B0	scbe	scsbme
173B1	ssxq	sslxfjdq
173B2	stjo	stjllxvo
173B3	shtl	shhbttjzlll
173B4	ydtpi	ydtpi
173B5	lbwbu	lbwbwu
173B6	lbme	lbme
173B7	lbclx	lbclx
173B8	lbtjo	lbtjo
173B9	lbsgp	lbsgp
173BA	lbatm	lbatjm
173BB	vdme	vdme
173BC	hlws	hllws
173BD	hlyx	hllyx
173BE	hlhle	hllhhlne
173BF	hlfbu	hllfbtu
173C0	hlsbp	hllsbp
173C1	hlwxp	hllwxp
173C2	hlawu	hllawbu
173C3	hlfbp	hllfmbp
173C4	hlwap	hllwaip
173C5	hltcx	hlltclx
173C6	hltag	hlltag
173C7	hhmau	hhhmbau
173C8	hhmal	hhhmbaczll
173C9	xydq	xydq
173CA	xlss	xlss
173CB	xlnq	xlnq
173CC	xcq	xcq
173CD	xsbt	xsbt
173CE	xba	xba
173CF	xtjl	xtjl
173D0	xfjb	xfjb
173D1	xrkl	xrkl
173D2	xsbp	xsbp
173D3	xvcl	xvczll
173D4	xqjx	xqjx
173D5	xiyxp	xiyxp
173D6	xsqp	xsqp
173D7	xsyw	xsyw
173D8	xntx	xntx
173D9	xfsx	xfsx
173DA	xzf	xzf
173DB	xmlo	xmxlo
173DC	xbme	xbme
173DD	xlst	xlssbt
173DE	xlsw	xlsyw
173DF	xbti	xbtpi
173E0	xlna	xlnta
173E1	xjsa	xjsa
173E2	xtzl	xtzlll
173E3	xsqx	xsqx
173E4	xnqy	xnnqy
173E5	xwxa	xwxa
173E6	xtju	xtjobtu
173E7	xmwa	xmbwa
173E8	xmwi	xmbwxi
173E9	xyqi	xydqxi
173EA	xlsr	xlsvyr
173EB	xjsx	xjswx
173EC	xjsq	xjsmlq
173ED	xtli	xtlai
173EE	xfbx	xfjbx
173EF	xrtx	xrtx
173F0	xrxr	xrxr
173F1	xsbx	xsbx
173F2	xsxa	xsxa
173F3	xfsb	xfsmsb
173F4	xjsu	xjssdqu
173F5	xtlw	xtlsbw
173F6	xclp	xcllqjp
173F7	xmwa	xmbwsa
173F8	xtlw	xtlrbw
173F9	xcwa	xcmbwa
